wavelength,CYP102-Trp,CYP102-His,CYP119-His,CYP119-Trp
514,0.787307675991845,0.915420898791915,0.889552767026362,0.783846714376916
515,0.776058849112996,0.897552928406782,0.880030600547164,0.771237900423912
516,0.765087830919438,0.891703948461213,0.871132126581477,0.758253960885289
517,0.753324578077793,0.882592208352343,0.862430094638174,0.745834983207729
518,0.741571589848793,0.876085000721241,0.853172253902394,0.733078778480688
519,0.730354976771891,0.862207019066751,0.844019161115998,0.720387778553676
520,0.717564879242987,0.855667425476786,0.833771355454277,0.707328892153897
521,0.704680431647859,0.841179997747099,0.823857242811267,0.694387801267562
522,0.693032765254416,0.83611364527576,0.813329597525194,0.681309552619115
523,0.681209976483659,0.822999336473421,0.802540709939028,0.668442260335816
524,0.668780635151634,0.812309974472102,0.791477914760036,0.655524997079505
525,0.657871881704394,0.801151820464065,0.779878666764312,0.642652724255536
526,0.64565548094886,0.792046137021156,0.768696958765529,0.628978397571866
527,0.633815863866562,0.782697723325998,0.756325260192773,0.615819814468637
528,0.62105108315101,0.763975475733753,0.744147625275177,0.602764312677621
529,0.607787313844147,0.754740213881744,0.731840848196246,0.589457507581159
530,0.595637362464084,0.742245767374519,0.719585103723872,0.576047671021742
531,0.58349992441868,0.727242169159993,0.707312135777973,0.562790747233105
532,0.571869706401254,0.717446875779267,0.695282020625626,0.550156572265976
533,0.560340290816273,0.707767674858705,0.682771015357259,0.537295778605048
534,0.547859630164996,0.694817515866944,0.670190884632867,0.524780252041004
535,0.535649772640957,0.689610030058092,0.657844575964036,0.512278008197329
536,0.525382495683051,0.671149495339703,0.646441616964868,0.499529026645735
537,0.515219054356896,0.663424556450542,0.634993928599998,0.48733537483683
538,0.503840903563168,0.645104406178823,0.622750408977205,0.475456548314989
539,0.492308671041135,0.635835865662504,0.610865841018102,0.463859862516534
540,0.481279941849921,0.625225060081971,0.598958515287339,0.452128332001069
541,0.470830324224813,0.612988900837154,0.58760254828441,0.44114013387935
542,0.460082950056949,0.606510409636823,0.576900585299114,0.430628155314125
543,0.448840507149599,0.587710791728755,0.566109044016011,0.419401857915967
544,0.43845150198166,0.579455756427893,0.555250951985417,0.408506791902031
545,0.427972625844259,0.568136849170029,0.544516388294299,0.398087156543869
546,0.418172951454751,0.557675248116665,0.533927900949385,0.388397726766789
547,0.408613439158488,0.55061710648952,0.523915428655366,0.37827944868606
548,0.399659613018803,0.537675427953016,0.51404311492419,0.368405000270749
549,0.390383474689674,0.526636316961157,0.504640377261769,0.358773388905893
550,0.382026723545047,0.518194751966606,0.495922161858534,0.349267809994621
551,0.373009215940506,0.510616635598046,0.486983031827997,0.340486446227563
552,0.364057022430144,0.496735141428374,0.477407789735105,0.331881686791218
553,0.355735167936036,0.490275195287622,0.46798623698923,0.323805169106968
554,0.347811045003396,0.482731269988437,0.458994339321641,0.315361790046566
555,0.338532069416137,0.471981653160311,0.449669140162432,0.307111126900489
556,0.330091950971409,0.458556225493854,0.439875179500809,0.298777546687995
557,0.321790067070344,0.451436103665717,0.430068985488493,0.291011848774841
558,0.313443619594072,0.437713845521703,0.420633314274531,0.283431137533304
559,0.304642482488238,0.43437001229842,0.410399934342165,0.275992740931713
560,0.297126064983919,0.42245925661244,0.400526324204459,0.268322423604476
561,0.291045091326862,0.410334804470027,0.390542193599725,0.261114802072947
562,0.283194837408048,0.398859500385691,0.38090910389811,0.254168357080297
563,0.274585081917003,0.390427922848998,0.37171671296041,0.247100179952551
564,0.267294709124112,0.386639431974965,0.362384135826464,0.239795527654804
565,0.259373728530393,0.375666680544706,0.353119143158618,0.232772071721064
566,0.252381426826049,0.367148772194556,0.344814822292351,0.22578619838303
567,0.245504586577341,0.358369825498555,0.336560213848248,0.21921786307512
568,0.238053787039255,0.34355575310031,0.328031063246541,0.212721967995169
569,0.231025483470163,0.342738445568924,0.320579109645257,0.206629665130952
570,0.223106601329596,0.332424397712144,0.312265507738573,0.20056274430954
571,0.216574259298274,0.325617564916815,0.304130739839285,0.19474127373143
572,0.210780473509652,0.318131365062582,0.296068944818879,0.188859206492175
573,0.204586936973686,0.306802962548161,0.288902693428747,0.183456677602937
574,0.199186682282762,0.305822254013531,0.281555566379043,0.178041572769114
575,0.194160226414739,0.292284744675498,0.274700259195525,0.173110587374455
576,0.18891729190222,0.293459213353071,0.268691550109623,0.168024415132191
577,0.183137332557822,0.28148313653997,0.261787514470275,0.163633329955635
578,0.178060351744459,0.279115414284113,0.255093394574738,0.159099171799581
579,0.173283277447419,0.272718230815453,0.248834805738916,0.154860735970474
580,0.168850959059791,0.267978903353076,0.242792089607641,0.150772451266596
581,0.164076786595975,0.25376094024228,0.237224620966988,0.147042556730827
582,0.15970082570411,0.253967680812817,0.231309558325354,0.143403993460871
583,0.155950531525927,0.24895835175494,0.22582367266157,0.140043020760864
584,0.151376772721516,0.244003807895077,0.220306804400504,0.136590567335557
585,0.148079347312046,0.236488549913168,0.214991741190881,0.133450514982884
586,0.144546738234888,0.227654582716941,0.209357471789101,0.13043146386341
587,0.140426308296482,0.226779712941281,0.203439729860469,0.127297076177189
588,0.135990417992522,0.220018816195717,0.197942760443519,0.124385086359806
589,0.131970253999389,0.21467680878094,0.193029843653721,0.121470941672037
590,0.128547025088892,0.20496203005124,0.186821700748939,0.118406760346019
591,0.124812914783242,0.206087599520578,0.181297154854528,0.115696387398295
592,0.120291691406596,0.19778556405555,0.175683043548871,0.112807343443757
593,0.116329005666409,0.190869789650107,0.169855490251452,0.109619607894977
594,0.112571875804261,0.184148052339635,0.16439778369479,0.106625021501154
595,0.109220961136471,0.180558541501869,0.159167973740581,0.103432294308858
596,0.106380904431734,0.180750432831996,0.153222530475779,0.100184026797981
597,0.1028615737757,0.172169590137887,0.148177942909144,0.0969070471397943
598,0.0994822546615242,0.171804094713707,0.143698153961254,0.0938565556298915
599,0.0956133759477831,0.163237363594313,0.13949519758424,0.0907524918237645
600,0.0926563936236278,0.157344288109366,0.135200813215181,0.0876623892563962
601,0.089408149911154,0.152300263169471,0.130678819560899,0.0847227849713611
602,0.0864151616033386,0.150407610415162,0.125782077157707,0.0816064723646911
603,0.0831744436642241,0.144199882284256,0.12177180294344,0.0784485969251836
604,0.0794387479287724,0.142352819360246,0.117550408461854,0.0754575943372693
605,0.0751485858939119,0.13892318486609,0.113275710905277,0.0724409978220162
606,0.0723355644433389,0.135521231891423,0.109205228212253,0.0696873986492248
607,0.0693686082147328,0.128059734978108,0.105252994421381,0.0673226351270823
608,0.0657890213717305,0.127620156466735,0.101736325529845,0.0647985668434501
609,0.0633429064765239,0.125666668892953,0.0985017564872668,0.062601100447915
610,0.0613475592186117,0.122193833270315,0.0946681017235073,0.060291280880914
611,0.0593650220860093,0.116669839788758,0.0912756332988319,0.0584585872203706
612,0.0570234477864175,0.114395478266623,0.0893997705884044,0.0567063977598042
613,0.0551575473354411,0.110315374994641,0.0869984469156957,0.0550796607916958
614,0.0535904080861933,0.10945264026657,0.0845286938574967,0.0533960410883257
615,0.0513802432573418,0.103062647997427,0.0828340094542366,0.0519898496841642
616,0.0504143239366471,0.1052677109064,0.0815555085829143,0.0505223444568549
617,0.0490249242892736,0.102901088136286,0.0799695687428924,0.0494712766239083
618,0.0462244853193894,0.097828358257026,0.0790017847315218,0.0484901606509141
619,0.0449274486867271,0.0922702211250716,0.0781032221736581,0.0474362332846045
620,0.0432487391887513,0.0921729501286082,0.0767582309323466,0.0464463054603117
621,0.0421989834384704,0.0912719283333023,0.0751059842770912,0.0455581976870038
622,0.0405774654575592,0.0874468122992535,0.0740052918066613,0.0445664220546493
623,0.0391264190384129,0.0862066050485144,0.0732022243654172,0.0436662248854286
624,0.0387743350141337,0.0843748522051549,0.0722753237442452,0.0428129190674289
625,0.0375551764516049,0.07934346173409,0.0711676750473367,0.0419331212614028
626,0.0358283650674726,0.0767230069468288,0.070116262169763,0.0409653838421557
627,0.0349678984843067,0.0747785614127904,0.0689920944272158,0.0401278042538931
628,0.0342783431137015,0.0737936890699202,0.0675448824823482,0.0390486934964121
629,0.0324064520237712,0.0714801310294104,0.0662839226450837,0.0380607159564176
630,0.0305600004546289,0.0691698721068148,0.0646637041595227,0.0370022910534383
631,0.0295526768781946,0.0653679445225102,0.0633671869493376,0.0359904051624114
632,0.0285758515946666,0.0661645609058436,0.0613278566638128,0.0349070009720889
633,0.0286561429609838,0.0637699820268996,0.0595428084588385,0.0338379469040428
634,0.0277926462935038,0.061493800727622,0.057078288139413,0.0325423445350494
635,0.0272081526033443,0.0606853858199026,0.0547851265209335,0.0314940092601701
636,0.0267989700630501,0.0572686695478024,0.0523647634764832,0.030410368685647
637,0.0265640443316177,0.0566178090148969,0.0503241194324322,0.0292774379488994
638,0.0264377808135608,0.0562072131911561,0.0477662520636013,0.0282356330921703
639,0.0262655679211854,0.0507497181991172,0.0455824519136427,0.0273120038242769
640,0.0251515919439534,0.050981544635356,0.042901085666158,0.0262578006804883
641,0.0242810927810606,0.050851932742829,0.041177547575102,0.0253739562512325
642,0.0239806975501794,0.0454526732416129,0.0394561581908513,0.0243762108584231
643,0.0244256767034884,0.0461864857855306,0.0381135840820444,0.023516992903784
644,0.024809354541538,0.0455618513351871,0.0369885675272185,0.0225483586943724
645,0.0250745765322744,0.0412312900124712,0.0363988070125154,0.0216236393042698
646,0.0252729875622449,0.0446677494822187,0.035390345608855,0.0208269983620308
647,0.026380790803969,0.0397217850995168,0.0355574382674449,0.0200902867667603
648,0.0266790829267802,0.0411991738316922,0.0363234693039937,0.0193261862412875
649,0.0272273834088643,0.0400820208859338,0.0374611992278905,0.0186350411243564
650,0.0287153723756567,0.0373413994526989,0.0388337768627969,0.0180349065923918
651,0.0289416370476812,0.0328474847782845,0.0411761803608637,0.0174341765856032
652,0.0292748126098236,0.0332389806307374,0.0433220624425197,0.0169583282639243
653,0.0292119313774026,0.0336169268892396,0.0462698008835128,0.0166390712400777
654,0.029286553416844,0.0305814407574522,0.0490411537456097,0.0163947109900709
655,0.0294266615356113,0.0339085505343763,0.0528068830782921,0.0160239092400707
656,0.0300795686276686,0.0300267901247719,0.056669638998242,0.0157653857553728
657,0.0306866789398817,0.0288055329780772,0.0603551168755399,0.015573312024463
658,0.0301339848578388,0.028484221237645,0.063363019360942,0.0152927958205276
659,0.0304342763660137,0.0294312310350041,0.066342006354274,0.0149663215671637
660,0.0306601844034126,0.024723424031698,0.068622180596103,0.0147393673531788
661,0.0310621037421013,0.0287813658009923,0.0716994651690073,0.0145128218938989
662,0.0306775969466534,0.0253938846507262,0.0743271107053364,0.0142280851932267
663,0.0297454347527398,0.0260997558569843,0.0755558053472193,0.0139509532411988
664,0.0298866437641764,0.0275654913841785,0.0767993423384248,0.0135475423674096
665,0.0295800388470973,0.0264739500224556,0.0775975210436542,0.0132206155350512
666,0.0277463214659233,0.0269019502821001,0.0771240972770069,0.0127835832508991
667,0.0257392986658679,0.0249051913356031,0.0756691632306255,0.0124279165579569
668,0.0243423153150412,0.0204152516156989,0.0741931297733906,0.012135446637603
669,0.0225929795701613,0.0215174609237483,0.072113672590028,0.0117126160058604
670,0.0209840531536972,0.0207279456855384,0.0700546900335731,0.011257717551147
671,0.0199347387593918,0.0179485209470335,0.0664602756015195,0.0108393357182713
672,0.0191791739493675,0.0183142674431769,0.062402229271978,0.0104435161395242
673,0.0178774174317786,0.0184894427428183,0.0586270100559773,0.0100041619513829
674,0.016515579615598,0.0176969267953145,0.0550059047015406,0.00956358470019676
